Truck_ID,Vehicle_No,Vehicle_Type,Supervisor,Mode,Customer_Name,Ownership,Purchase_Date,EMI_Monthly,Insurance_Monthly,Road_Tax_Monthly,Tyre_Cost_per_KM,Maintenance_Cost_per_KM,,,,,,,,,,,,,,,
61,KA59 7059,MXL,SADDAM,Line,Britannia,,,,,,,,,,,,,,,,,,,,,,
62,KA59 7060,MXL,SADDAM,Line,Britannia,,,,,,,,,,,,,,,,,,,,,,
63,KA59 7061,MXL,SADDAM,Line,Britannia,,,,,,,,,,,,,,,,,,,,,,
64,KA59 7062,MXL,SADDAM,Line,Britannia,,,,,,,,,,,,,,,,,,,,,,
65,KA59 7063,MXL,SADDAM,Line,Britannia,,,,,,,,,,,,,,,,,,,,,,
66,KA59 7064,MXL,SADDAM,Line,Britannia,,,,,,,,,,,,,,,,,,,,,,
67,KA59 7065,MXL,SADDAM,Line,Britannia,,,,,,,,,,,,,,,,,,,,,,
68,KA59 7066,MXL,SADDAM,Line,Britannia,,,,,,,,,,,,,,,,,,,,,,
69,KA59 8251,MXL,BIPLAP,Dedicated,HUL,,,,,,,,,,,,,,,,,,,,,,
70,KA59 8252,MXL,BIPLAP,Dedicated,HUL,,,,,,,,,,,,,,,,,,,,,,
71,KA59 8253,MXL,BIPLAP,Dedicated,HUL,,,,,,,,,,,,,,,,,,,,,,
72,KA59 8254,MXL,BIPLAP,Dedicated,HUL,,,,,,,,,,,,,,,,,,,,,,
73,KA59 8255,MXL,BIPLAP,Dedicated,HUL,,,,,,,,,,,,,,,,,,,,,,
74,KA59 8256,MXL,BIPLAP,Dedicated,HUL,,,,,,,,,,,,,,,,,,,,,,
75,KA59 8257,MXL,BIPLAP,Dedicated,HUL,,,,,,,,,,,,,,,,,,,,,,
76,KA59 8466,MXL,BIPLAP,Dedicated,HUL,,,,,,,,,,,,,,,,,,,,,,
77,KA59 8467,MXL,BIPLAP,Dedicated,HUL,,,,,,,,,,,,,,,,,,,,,,
78,KA59 8468,MXL,BIPLAP,Dedicated,HUL,,,,,,,,,,,,,,,,,,,,,,
79,KA59 8470,MXL,BIPLAP,Dedicated,HUL,,,,,,,,,,,,,,,,,,,,,,
80,KA59 8471,MXL,BIPLAP,Dedicated,HUL,,,,,,,,,,,,,,,,,,,,,,
81,KA59 8472,MXL,BIPLAP,Dedicated,HUL,,,,,,,,,,,,,,,,,,,,,,
82,KA59 8473,MXL,BIPLAP,Dedicated,HUL,,,,,,,,,,,,,,,,,,,,,,
83,KA59 8474,MXL,BIPLAP,Dedicated,HUL,,,,,,,,,,,,,,,,,,,,,,
84,KA59 8475,MXL,BIPLAP,Dedicated,HUL,,,,,,,,,,,,,,,,,,,,,,
85,KA59 8476,MXL,BIPLAP,Dedicated,HUL,,,,,,,,,,,,,,,,,,,,,,
86,KA59 8477,MXL,BIPLAP,Dedicated,HUL,,,,,,,,,,,,,,,,,,,,,,
87,KA59 8479,MXL,BIPLAP,Dedicated,HUL,,,,,,,,,,,,,,,,,,,,,,
88,KA59 8480,MXL,BIPLAP,Dedicated,HUL,,,,,,,,,,,,,,,,,,,,,,
89,KA59 8481,MXL,BIPLAP,Dedicated,HUL,,,,,,,,,,,,,,,,,,,,,,
90,KA59 8702,MXL,BIPLAP,Dedicated,HUL,,,,,,,,,,,,,,,,,,,,,,
91,KA59 8703,MXL,BIPLAP,Dedicated,HUL,,,,,,,,,,,,,,,,,,,,,,
92,KA59 8704,MXL,BIPLAP,Dedicated,HUL,,,,,,,,,,,,,,,,,,,,,,
93,KA59 8705,MXL,BIPLAP,Dedicated,HUL,,,,,,,,,,,,,,,,,,,,,,
94,KA59 8706,MXL,BIPLAP,Dedicated,HUL,,,,,,,,,,,,,,,,,,,,,,
95,KA59 8707,MXL,BIPLAP,Dedicated,HUL,,,,,,,,,,,,,,,,,,,,,,
96,KA59 8708,MXL,BIPLAP,Dedicated,HUL,,,,,,,,,,,,,,,,,,,,,,
97,KA59 8709,MXL,BIPLAP,Dedicated,HUL,,,,,,,,,,,,,,,,,,,,,,
98,KA59 8710,MXL,BIPLAP,Dedicated,HUL,,,,,,,,,,,,,,,,,,,,,,
99,KA59 8711,MXL,BIPLAP,Dedicated,HUL,,,,,,,,,,,,,,,,,,,,,,
100,KA59 8712,MXL,BIPLAP,Dedicated,HUL,,,,,,,,,,,,,,,,,,,,,,
101,KA59 8713,MXL,BIPLAP,Dedicated,HUL,,,,,,,,,,,,,,,,,,,,,,
102,KA59 8714,MXL,BIPLAP,Dedicated,HUL,,,,,,,,,,,,,,,,,,,,,,
103,KA59 8715,MXL,BIPLAP,Dedicated,HUL,,,,,,,,,,,,,,,,,,,,,,
104,KA59 8716,MXL,BIPLAP,Dedicated,HUL,,,,,,,,,,,,,,,,,,,,,,
105,KA59 8717,MXL,BIPLAP,Dedicated,HUL,,,,,,,,,,,,,,,,,,,,,,
106,KA59 8718,MXL,BIPLAP,Dedicated,HUL,,,,,,,,,,,,,,,,,,,,,,
